landing_x,landing_y,landing_z,landing_error_m,min_batt_voltage,mean_wind,max_wind,max_climb_rate,max_descent_rate,gps_lost,gps_loss_count,rtl_lateral_offset_max,rtl_lateral_offset_std,rtl_duration,gps_drop_detected,anomaly_flag,trial
0.061502498,0.02477636,0.041503906,0.06630554482914384,15.3,0.23345994698365627,1.280480139672009,3.11,-2.69,0,0,80.36030005535004,25.3074384802304,120.552,0,0,00_02_30_csv
27.23187,-58.1246,0.21673584,64.1875678683723,15.3,0.16354801638372812,1.5955137682723644,3.12,-1.65,1,186,80.52572503220027,20.609627687130217,136.43599999999998,0,1,00_06_06_csv
26.550236,-58.257767,0.20761108,64.02251516054321,15.3,0.15123762295279536,1.5737015475929355,3.1599998,-1.75,1,188,80.59282494477833,20.683149121136545,136.548,0,1,00_09_55_csv
22.22951,-54.96088,0.27383423,59.28616571523664,15.3,0.1612313182812589,1.50276625943481,3.11,-1.67,1,166,80.22973607876119,20.511263012169707,136.248,0,1,00_13_43_csv
0.04213213,0.021053184,-0.0028381348,0.047099394209212025,15.3,0.2278872261306202,1.159496352300202,3.11,-2.6299999,0,0,80.37768958906088,25.240930004497198,120.564,0,0,00_17_30_csv
0.07363835,-0.02031462,-0.03933716,0.07638907236291655,15.3,0.1427542416489536,1.6226780038781787,3.1599998,-1.6899999,1,171,80.34855759715451,23.30282441795541,135.416,0,1,00_20_59_csv
60.33734,63.657978,0.077941895,87.70936529997286,15.3,0.42570625286721464,1.2362479371371902,2.8,-0.03,1,345,80.36936926425538,20.364499575691863,133.11199999999997,0,1,00_24_41_csv
0.005433365,-0.0051026163,0.0015869141,0.0074537338514499354,15.3,0.28270399624755294,1.1977646622061822,3.4399998,-2.59,0,0,80.63555031114971,28.519318141654015,87.032,0,0,23_30_48_csv
0.046531223,-0.048234157,0.09976196,0.06702006129045525,15.3,0.3194899672207548,1.4322903718378417,3.4299998,-2.62,0,0,80.57446732869708,28.546060105927374,87.00399999999999,0,0,23_33_24_csv
0.05140923,-0.014624297,0.039245605,0.05344884462677476,15.3,0.35720040520025287,1.566683718260266,3.4299998,-2.6,0,0,80.58314808689624,28.541734431810507,86.90799999999999,0,0,23_35_53_csv
0.08226034,-0.018982703,-0.04827881,0.0844221922843858,15.3,0.2596249970303022,1.4585582251265572,2.99,-2.6499999,0,0,80.37452422865776,23.031254109786985,149.62800000000001,0,0,23_38_26_csv
0.063454315,-0.041659866,-0.0066223145,0.07590780280878363,15.3,0.20084404002491335,0.9489968644917491,3.01,-2.59,0,0,80.39880724749193,24.02378615526568,149.56,0,0,23_43_24_csv
-0.0014207985,-0.03248705,-0.025909424,0.03251810397424952,15.3,0.2471704213564639,1.7924758611827547,2.98,-2.6799998,0,0,80.69008780212857,22.787656212750637,152.228,0,0,23_49_23_csv
-0.002443888,-0.064506315,-0.022918701,0.06455259300319212,15.3,0.20869687071371684,1.0534542068701576,3.12,-2.61,0,0,80.26569247607277,25.28323791034392,120.48,0,0,23_54_19_csv
-0.055990394,-0.094794415,0.0066223145,0.11009498324386749,15.3,0.30962369254315997,1.627862728228864,3.1799998,-2.61,0,0,80.45469793419721,25.359144959357774,120.63999999999999,0,0,23_58_34_csv
